Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
3400681,20,2035,497,167,73
3400725,21,4950,1057,187,75
3420025,48,4923,1239,2114,501
3420044,44,5862,1215,2488,593
3420064,28,4750,1672,188,68
3420224,38,5621,1025,209,87
3420239,31,3522,708,8709,1089
3420369,24,14102,2686,683,124
3420403,37,311,119,4648,621
3420435,28,10669,2463,388,142
3420441,31,3461,934,3554,980
3420465,35,9149,1700,633,184
3420482,25,8869,1886,341,154
3420500,31,7363,1864,5225,881
3420670,22,6908,1249,3237,761
3420672,24,355,150,4058,1657
3440048,31,1319,332,4546,962
3440064,29,912,275,301,108
3440097,26,3880,1077,933,385
3440102,24,449,239,412,201
3440133,28,2835,843,1792,505
3440167,38,213,100,676,243
3440274,29,248,131,180,111
3440288,20,4967,1159,243,130
3440435,33,4106,921,8989,1934
3440463,25,5821,988,292,130
3440487,25,9633,1992,251,105
3440500,30,400,120,339,206
3440524,30,319,124,2011,348
3440528,37,9645,2066,866,354
3440577,28,237,126,1111,386
3440601,34,11030,1590,441,185
3440630,30,441,152,6245,1147
3450047,27,2011,542,1088,337
3450079,29,3804,849,2311,556
3450092,30,266,144,716,211
3450093,20,230,86,2272,723
3450100,26,14958,3128,4704,894
3450209,35,217,107,1069,349
3450253,30,461,131,6464,1281
3450333,30,4719,835,22370,3083
3450377,33,4471,1116,26829,3881
3450437,31,4326,880,2505,632
3450575,29,211,88,165,79
3450598,20,231,99,189,75
3450601,26,1511,638,1952,665
3450639,27,2040,503,900,291
3450646,28,622,215,168,80
3460025,24,656,168,5900,867
3460100,35,3948,809,977,406
3460113,28,2223,349,921,357
3460274,41,366,137,7831,1153
3460301,35,8872,1964,5843,1156
3460390,30,2097,389,851,251
3460440,50,3683,930,211,106
3460445,26,9866,2033,284,90
3460458,23,433,144,5621,1434
3460541,37,1644,577,3465,833
3460564,37,2244,704,286,133
3460653,35,6635,1744,2594,519
3460692,35,15200,2609,4386,972
3460739,25,522,127,9860,1494
3520092,36,2341,670,1057,302
3520100,31,6015,1581,346,164
3520136,24,6456,1526,244,81
3520195,25,573,198,3660,799
3520228,32,10420,2517,6284,1453
3520278,28,9464,1929,1384,626
3520292,42,5367,1255,6580,1443
3520349,34,3965,755,230,86
3520494,22,255,110,751,275
3520497,15,254,113,2498,726
3520520,25,495,189,219,106
3520521,28,352,143,4027,787
3520537,17,650,133,12341,1580
3520592,30,258,97,4073,1046
3520619,26,5522,1217,2775,505
3520639,37,375,131,1462,520
3520671,33,262,148,1508,533
3520722,26,8837,1996,1245,669
3520746,30,2197,570,2444,477
3610025,31,230,91,2807,728
3610053,23,4852,1307,218,91
3610133,33,3721,885,179,87
3610167,31,246,83,4100,893
3610176,35,363,173,6644,1759
3610189,33,1877,509,961,238
3610253,24,1855,463,196,89
3610343,35,1319,383,179,77
3610372,37,6866,1595,294,115
3610397,30,8608,1537,354,142
3610424,22,5097,1377,310,136
3610427,33,331,143,3120,947
3610524,30,6856,1423,232,104
3610603,34,246,98,164,60
3610615,15,10917,2875,2673,836
3610674,15,531,182,5001,992
3610707,33,4850,1102,217,105
3610722,41,5914,1399,1438,490
3610743,30,6983,1715,6002,1157
3710154,35,20096,4541,1129,409
3710202,24,1305,376,703,208
3710241,35,1287,243,423,159
3710246,34,280,109,3727,569
3710253,23,3332,499,200,93
3710358,20,6326,1368,207,87
3710370,26,3962,1216,213,110
3710382,23,376,99,3287,825
3710445,32,4735,1291,224,118
3710564,20,2867,722,4621,1140
3710707,23,459,127,4837,776
3710717,39,249,110,849,343
3710768,33,4588,998,275,117
3780056,34,238,117,168,81
3780114,31,4877,1197,550,195
3780192,26,236,103,820,318
3780224,29,6820,1263,236,101
3780368,38,5487,1066,237,113
3780468,30,3248,880,1622,417
3780477,39,9916,1820,275,110
3780601,44,525,207,380,212
3780603,33,474,188,3049,599
3780609,32,2674,653,1470,441
3780647,45,8937,2156,341,114
3780707,31,416,180,159,75
3780717,25,1250,414,2693,936
3800019,16,238,113,961,243
3800088,41,13203,1769,408,137
3800224,18,987,451,3376,910
3800259,24,247,97,2324,683
3800424,42,8166,1729,10924,1882
3800452,33,5125,1140,10160,2212
3800463,30,202,126,1396,533
3800468,39,252,120,2954,950
3800605,19,4827,543,216,98
3800670,29,2706,613,1496,417
3830037,29,224,119,648,243
3830133,31,2683,598,214,100
3830274,25,4301,950,1135,279
3830296,32,203,89,217,84
3830364,32,4388,995,12245,2386
3830424,32,1321,396,223,71
3830433,23,5919,1335,272,150
3830497,36,243,96,1100,276
3830543,24,2626,850,1462,386
3830551,18,627,174,5832,902
3830594,27,590,158,9055,1452
3830598,33,2566,648,200,83
3830689,18,330,152,7523,921
3830762,25,6718,1406,228,93
3840022,22,710,273,280,161
3840168,31,336,121,3025,574
3840184,31,255,105,167,78
3840408,18,9443,1696,3776,912
3840437,34,6746,1799,261,112
3840438,27,8005,1660,266,125
3840458,33,5092,909,176,84
3840494,26,6032,1012,4011,682
3840563,27,185,100,221,133
3840703,36,5851,1053,5901,1130
3840707,27,843,238,6615,1568
3840736,30,1126,273,183,113
3840739,28,262,76,5279,1061
3840746,21,4438,993,172,76
3850037,19,2088,574,168,81
3850181,27,3112,732,230,130
3850189,23,1227,308,174,67
3850192,39,9453,1853,6085,1002
3850209,29,284,121,165,71
3850356,29,208,99,226,86
3850360,32,8072,1981,335,157
3850392,28,197,77,166,79
3850458,25,5351,1321,241,108
3850554,27,656,206,1128,560
3850608,27,10082,1600,316,95
